id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
5196112,601,799,170317109001,Cook,Illinois,W 81st Pl,0.75346815376280943730,0.22714716865312801587,88,1714000
5196113,584,8198,170317109001,Cook,Illinois,S Wallace St,0.75346815376280943730,0.22714716865312801587,88,1714000
5196114,581,8299,170317109001,Cook,Illinois,S Wallace St,0.75346815376280943730,0.22714716865312801587,88,1714000
5196115,7901,8299,170317109001,Cook,Illinois,S Halsted St,0.75346815376280943730,0.22714716865312801587,88,1714000
5196116,601,799,170317109001,Cook,Illinois,W 79th St,0.75346815376280943730,0.22714716865312801587,88,1714000
5196117,500,698,170317109002,Cook,Illinois,W 86th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196118,401,699,170317109002,Cook,Illinois,W 86th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196119,8600,8698,170317109002,Cook,Illinois,S Emerald Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196120,8601,8699,170317109002,Cook,Illinois,S Emerald Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196121,8400,8698,170317109002,Cook,Illinois,S Parnell Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196122,8401,8699,170317109002,Cook,Illinois,S Parnell Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196123,8500,8598,170317109002,Cook,Illinois,S Givins Ct,0.77900651014469089058,0.10999510600296678053,161,1714000
5196124,8501,8599,170317109002,Cook,Illinois,S Givins Ct,0.77900651014469089058,0.10999510600296678053,161,1714000
5196125,401,799,170317109002,Cook,Illinois,W 83rd St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196126,500,598,170317109002,Cook,Illinois,W 83rd Pl,0.77900651014469089058,0.10999510600296678053,161,1714000
5196127,501,599,170317109002,Cook,Illinois,W 83rd Pl,0.77900651014469089058,0.10999510600296678053,161,1714000
5196128,8500,8698,170317109002,Cook,Illinois,S Normal Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196129,8601,8699,170317109002,Cook,Illinois,S Normal Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196130,8500,8598,170317109002,Cook,Illinois,S Eggleston Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196131,8401,8699,170317109002,Cook,Illinois,S Eggleston Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196132,500,698,170317109002,Cook,Illinois,W 85th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196133,501,699,170317109002,Cook,Illinois,W 85th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196134,8238,8698,170317109002,Cook,Illinois,S Wallace St,0.77900651014469089058,0.10999510600296678053,161,1714000
